### MAIN SAMPLES ###
featureId;id;datetime;meanNDVI;meanNDVISmoothed;medianNDVI;medianNDVISmoothed;n_valid;valid_fraction;not_valid_fraction;filter;filter_fraction;Change point;Z-Score;Annotation;Status
"S2B_MSIL2A_20250927T101709_R065_T33UUU_20250927T160120";"7";"2025-09-27T10:17:09.024000Z";"0.13962855961182255";"0.13962855961182255";"0.10840226709842682";"0.10840226709842682";"2292";"99.48%";"WATER: 0.52%";"z-score";"93.01%";"true";"-5.67";"N/A";"Included"
"S2B_MSIL2A_20250927T101709_R065_T32UQD_20250927T160120";"8";"2025-09-27T10:17:09.024000Z";"0.13761537623419745";"0.13761537623419745";"0.10310695320367813";"0.10310695320367813";"2066";"99.61%";"WATER: 0.39%";"z-score";"93.25%";"false";"N/A";"N/A";"Included"
"S2C_MSIL2A_20250929T100821_R022_T33UUU_20250929T155516";"9";"2025-09-29T10:08:21.025000Z";"0.14713581976273646";"0.14713581976273646";"0.10863922536373138";"0.10863922536373138";"2288";"99.31%";"WATER: 0.69%";"z-score";"92.32%";"false";"N/A";"N/A";"Included"
"S2C_MSIL2A_20250929T100821_R022_T32UQD_20250929T155516";"10";"2025-09-29T10:08:21.025000Z";"0.14588648762126769";"0.14588648762126769";"0.10910730063915253";"0.10910730063915253";"2038";"98.26%";"WATER: 1.74%";"z-score";"91.22%";"false";"N/A";"N/A";"Included"
"S2C_MSIL2A_20251002T101851_R065_T33UUU_20251002T152415";"11";"2025-10-02T10:18:51.025000Z";"0.15474668532662547";"0.15474668532662547";"0.1227186918258667";"0.1227186918258667";"2256";"97.92%";"CLOUD_SHADOWS: 0.35%
WATER: 1.74%";"z-score";"91.32%";"false";"N/A";"N/A";"Included"
"S2C_MSIL2A_20251002T101851_R065_T32UQD_20251002T152415";"12";"2025-10-02T10:18:51.025000Z";"0.15027727606299265";"0.15027727606299265";"0.11516156047582626";"0.11516156047582626";"2054";"99.04%";"WATER: 0.96%";"z-score";"92.48%";"false";"N/A";"N/A";"Included"
"S2A_MSIL2A_20251021T101101_R022_T32UQD_20251021T120217";"13";"2025-10-21T10:11:01.024000Z";N/A;N/A;N/A;N/A;"0";"0.00%";"CLOUD_MEDIUM_PROBABILITY: 50.24%
CLOUD_HIGH_PROBABILITY: 49.76%";"z-score";"0.00%";"false";"N/A";"Sharp decline";"Excluded"
"S2B_MSIL2A_20251106T102119_R065_T33UUU_20251106T124828";"14";"2025-11-06T10:21:19.024000Z";"0.11364657903125404";"0.11364657903125404";"0.09119373559951782";"0.09119373559951782";"2232";"96.88%";"WATER: 3.13%";"z-score";"91.97%";"true";"-6.63";"N/A";"Included"
"S2B_MSIL2A_20251106T102119_R065_T32UQD_20251106T124828";"15";"2025-11-06T10:21:19.024000Z";"0.11272193472273613";"0.11272193472273613";"0.09129814803600311";"0.09129814803600311";"1978";"95.37%";"WATER: 4.63%";"z-score";"90.31%";"false";"N/A";"N/A";"Included"
"S2C_MSIL2A_20251121T102341_R065_T33UUU_20251121T115707";"16";"2025-11-21T10:23:41.025000Z";"0.09826808322074665";"0.09826808322074665";"0.08275654166936874";"0.08275654166936874";"2176";"94.44%";"WATER: 5.56%";"z-score";"90.10%";"false";"N/A";"N/A";"Included"
"S2C_MSIL2A_20251121T102341_R065_T32UQD_20251121T115707";"17";"2025-11-21T10:23:41.025000Z";"0.09679172223812561";"0.09679172223812561";"0.08175651729106903";"0.08175651729106903";"1944";"93.73%";"WATER: 6.27%";"z-score";"89.05%";"false";"N/A";"N/A";"Included"
"S2B_MSIL2A_20251216T102339_R065_T33UUU_20251216T123617";"18";"2025-12-16T10:23:39.024000Z";N/A;N/A;N/A;N/A;"1008";"43.75%";"WATER: 0.35%
CLOUD_MEDIUM_PROBABILITY: 0.35%
THIN_CIRRUS: 55.56%";"z-score";"0.00%";"false";"N/A";"N/A";"Excluded"
"S2B_MSIL2A_20251216T102339_R065_T32UQD_20251216T123617";"19";"2025-12-16T10:23:39.024000Z";N/A;N/A;N/A;N/A;"894";"43.11%";"WATER: 0.19%
CLOUD_MEDIUM_PROBABILITY: 0.19%
THIN_CIRRUS: 56.51%";"z-score";"0.00%";"false";"N/A";"N/A";"Excluded"
"S2B_MSIL2A_20251226T102339_R065_T33UUU_20251226T124209";"20";"2025-12-26T10:23:39.024000Z";"0.05958945051957236";"0.05958945051957236";"0.04870384931564331";"0.04870384931564331";"1908";"82.81%";"WATER: 17.19%";"z-score";"78.65%";"true";"-5.05";"N/A";"Included"
"S2B_MSIL2A_20251226T102339_R065_T32UQD_20251226T124209";"21";"2025-12-26T10:23:39.024000Z";"0.058480484073863435";"0.058480484073863435";"0.04899894446134567";"0.04899894446134567";"1692";"81.58%";"WATER: 18.42%";"z-score";"77.39%";"false";"N/A";"N/A";"Included"
"S2C_MSIL2A_20251228T101441_R022_T33UUU_20251228T140410";"22";"2025-12-28T10:14:41.025000Z";"0.06850550512892174";"0.06850550512892174";"0.056433409452438354";"0.056433409452438354";"1948";"84.55%";"WATER: 15.45%";"z-score";"80.16%";"false";"N/A";"N/A";"Included"
"S2C_MSIL2A_20251228T101441_R022_T32UQD_20251228T140410";"23";"2025-12-28T10:14:41.025000Z";"0.07045047386797419";"0.07045047386797419";"0.0577019564807415";"0.0577019564807415";"1726";"83.22%";"WATER: 16.78%";"z-score";"79.07%";"false";"N/A";"N/A";"Included"
"S2A_MSIL2A_20251230T101451_R022_T33UUU_20251230T113318";"24";"2025-12-30T10:14:51.024000Z";"0.04826467757590668";"0.04826467757590668";"0.04148148000240326";"0.04148148000240326";"1856";"80.56%";"WATER: 18.92%
THIN_CIRRUS: 0.52%";"z-score";"76.43%";"true";"-5.49";"N/A";"Included"
"S2A_MSIL2A_20251230T101451_R022_T32UQD_20251230T113318";"25";"2025-12-30T10:14:51.024000Z";"0.047280892717417936";"0.047280892717417936";"0.04080267623066902";"0.04080267623066902";"1672";"80.62%";"WATER: 18.61%
THIN_CIRRUS: 0.77%";"z-score";"76.95%";"false";"N/A";"N/A";"Included"
